R,G,B,H,S,L,Brightness,Target
250.0,93.0,66.0,8.8,0.95,0.62,136.87,Bad
72.0,5.0,234.0,257.55,0.96,0.47,51.14,Good
49.0,116.0,169.0,206.5,0.55,0.43,102.01,Good
,188.0,95.0,,,,,
130.0,79.0,125.0,305.88,0.24,0.41,99.49,Medium
13.0,24.0,133.0,234.5,0.82,0.29,33.14,Medium
77.0,173.0,162.0,173.12,0.38,0.49,143.04,Medium
28.0,245.0,145.0,152.35,0.92,0.54,168.72,Medium
76.0,42.0,172.0,255.69,0.61,0.42,66.99,Good
171.0,227.0,243.0,193.33,0.75,0.81,212.08,Good
251.0,48.0,115.0,340.2,0.96,0.59,116.33,Bad
120.0,47.0,171.0,275.32,0.57,0.43,82.96,Good
87.0,41.0,55.0,341.74,0.36,0.25,56.35,Bad
167.0,122.0,81.0,28.6,0.35,0.49,130.78,Bad
21.0,,95.0,,,,,
105.0,79.0,234.0,250.06,0.79,0.61,104.44,Good
184.0,133.0,37.0,39.18,0.67,0.43,137.3,Medium
87.0,31.0,131.0,273.6,0.62,0.32,59.14,Medium
10.0,132.0,82.0,155.41,0.86,0.28,89.82,Medium
91.0,129.0,52.0,89.61,0.43,0.35,108.86,Medium
85.0,72.0,240.0,244.64,0.85,0.61,95.04,Good
129.0,174.0,255.0,218.57,1.0,0.75,169.78,Good
67.0,90.0,53.0,97.3,0.26,0.28,78.91,Medium
143.0,186.0,5.0,74.25,0.95,0.37,152.51,Medium
164.0,138.0,63.0,44.55,0.44,0.45,137.22,Medium
84.0,77.0,61.0,41.74,0.16,0.28,77.27,Medium
80.0,210.0,69.0,115.32,0.61,0.55,155.06,Medium
172.0,246.0,106.0,91.71,0.89,0.69,207.91,Medium
130.0,,136.0,,,,,
81.0,4.0,26.0,342.86,0.91,0.17,29.53,Medium
230.0,22.0,128.0,329.42,0.83,0.49,96.28,Medium
109.0,26.0,118.0,294.13,0.64,0.28,61.3,Medium
104.0,27.0,20.0,5.0,0.68,0.24,49.23,Bad
11.0,21.0,184.0,236.53,0.89,0.38,36.59,Medium
137.0,125.0,173.0,255.0,0.23,0.58,134.06,Good
64.0,57.0,17.0,51.06,0.58,0.16,54.53,Medium
156.0,245.0,118.0,102.05,0.86,0.71,203.91,Medium
164.0,44.0,64.0,350.0,0.58,0.41,82.16,Bad
73.0,171.0,127.0,153.06,0.4,0.48,136.68,Medium
133.0,121.0,251.0,245.54,0.94,0.73,139.41,Good
87.0,23.0,116.0,281.29,0.67,0.27,52.74,Medium
235.0,205.0,223.0,324.0,0.43,0.86,216.02,Good
190.0,253.0,179.0,111.08,0.95,0.85,225.73,Good
228.0,171.0,72.0,38.08,0.74,0.59,176.76,Medium
251.0,,152.0,,,,,
206.0,28.0,123.0,327.98,0.76,0.46,92.05,Medium
5.0,93.0,222.0,215.67,0.96,0.45,81.39,Good
80.0,62.0,241.0,246.03,0.86,0.59,87.79,Good
37.0,149.0,203.0,199.52,0.69,0.47,121.67,Good
185.0,16.0,4.0,3.98,0.96,0.37,65.16,Bad
179.0,59.0,244.0,278.92,0.89,0.59,115.97,Good
54.0,235.0,51.0,119.02,0.82,0.56,159.91,Medium
13.0,150.0,31.0,127.88,0.84,0.32,95.47,Medium
36.0,125.0,151.0,193.57,0.61,0.37,101.35,Medium
103.0,152.0,123.0,144.49,0.19,0.5,134.04,Medium
223.0,250.0,180.0,83.14,0.87,0.84,233.95,Good
233.0,112.0,59.0,18.28,0.8,0.57,142.14,Bad
208.0,102.0,44.0,21.22,0.65,0.49,127.08,Bad
86.0,125.0,123.0,176.92,0.18,0.41,113.11,Medium
79.0,155.0,7.0,90.81,0.91,0.32,115.4,Medium
89.0,78.0,14.0,51.2,0.73,0.2,73.99,Medium
197.0,30.0,30.0,0.0,0.74,0.45,79.93,Bad
64.0,176.0,125.0,152.68,0.47,0.47,136.7,Medium
236.0,,122.0,,,,,
54.0,171.0,26.0,108.41,0.74,0.39,119.49,Medium
124.0,233.0,194.0,158.53,0.71,0.7,195.96,Medium
136.0,92.0,148.0,287.14,0.23,0.47,111.54,Good
225.0,51.0,134.0,331.38,0.74,0.54,112.49,Bad
71.0,163.0,,,,,,
189.0,94.0,4.0,29.19,0.96,0.38,112.14,Bad
93.0,152.0,79.0,108.49,0.32,0.45,126.04,Medium
,153.0,82.0,,,,,
,203.0,3.0,,,,,
,116.0,134.0,,,,,
170.0,238.0,202.0,148.24,0.67,0.8,213.56,Good
226.0,134.0,151.0,348.91,0.61,0.71,163.45,Bad
197.0,247.0,145.0,89.41,0.86,0.77,220.42,Good
254.0,135.0,38.0,26.94,0.99,0.57,159.52,Bad
85.0,30.0,7.0,17.69,0.85,0.18,43.82,Medium
252.0,0.0,97.0,336.9,1.0,0.49,86.41,Bad
248.0,239.0,71.0,56.95,0.93,0.63,222.54,Medium
244.0,63.0,,,,,,
254.0,77.0,222.0,310.85,0.99,0.65,146.45,Medium
28.0,100.0,85.0,167.5,0.56,0.25,76.76,Medium
85.0,166.0,246.0,209.81,0.9,0.65,150.9,Good
63.0,170.0,86.0,132.9,0.46,0.46,128.43,Medium
124.0,,169.0,,,,,
,179.0,38.0,,,,,
156.0,98.0,151.0,305.17,0.23,0.5,121.38,Medium
124.0,121.0,51.0,57.53,0.42,0.34,113.92,Medium
12.0,159.0,89.0,151.43,0.86,0.34,107.07,Medium
182.0,120.0,69.0,27.08,0.45,0.49,132.72,Bad
177.0,6.0,87.0,331.58,0.93,0.36,66.36,Bad
5.0,231.0,,,,,,
251.0,110.0,56.0,16.62,0.96,0.6,146.0,Bad
77.0,,,,,,,
191.0,205.0,122.0,70.12,0.45,0.64,191.35,Medium
37.0,129.0,149.0,190.71,0.6,0.36,103.77,Medium
95.0,57.0,243.0,252.26,0.89,0.59,89.57,Good
17.0,109.0,25.0,125.22,0.73,0.25,71.92,Medium
128.0,33.0,254.0,265.79,0.99,0.56,86.6,Good
29.0,26.0,38.0,255.0,0.19,0.13,28.27,Bad
221.0,108.0,4.0,28.76,0.96,0.44,129.93,Bad
91.0,,114.0,,,,,
124.0,131.0,1.0,63.23,0.98,0.26,114.09,Medium
81.0,,43.0,,,,,
227.0,249.0,179.0,78.86,0.85,0.84,234.44,Good
77.0,203.0,52.0,110.07,0.59,0.5,148.11,Medium
145.0,238.0,171.0,136.77,0.73,0.75,202.55,Medium
118.0,61.0,81.0,338.95,0.32,0.35,80.32,Bad
107.0,131.0,229.0,228.2,0.7,0.66,135.0,Good
162.0,250.0,126.0,102.58,0.93,0.74,209.55,Medium
10.0,6.0,131.0,241.92,0.91,0.27,21.45,Medium
141.0,84.0,222.0,264.78,0.68,0.6,116.78,Good
121.0,77.0,,,,,,
106.0,194.0,181.0,171.14,0.42,0.59,166.21,Medium
48.0,160.0,220.0,200.93,0.71,0.53,133.35,Good
158.0,115.0,147.0,315.35,0.18,0.54,131.5,Medium
,34.0,19.0,,,,,
149.0,87.0,214.0,269.29,0.61,0.59,120.02,Good
223.0,235.0,75.0,64.5,0.8,0.61,213.17,Medium
174.0,1.0,191.0,294.63,0.99,0.38,74.39,Medium
45.0,167.0,137.0,165.25,0.58,0.42,127.1,Medium
31.0,202.0,28.0,118.97,0.76,0.45,131.03,Medium
243.0,82.0,124.0,344.35,0.87,0.64,134.93,Bad
217.0,122.0,117.0,3.0,0.57,0.65,149.83,Bad
254.0,28.0,151.0,327.35,0.99,0.55,109.6,Medium
74.0,140.0,149.0,187.2,0.34,0.44,121.29,Good
54.0,163.0,0.0,100.12,1.0,0.32,111.83,Medium
45.0,177.0,176.0,179.55,0.59,0.44,137.42,Medium
0.0,50.0,55.0,185.45,1.0,0.11,35.62,Bad
154.0,94.0,143.0,311.0,0.24,0.49,117.53,Medium
51.0,105.0,134.0,200.96,0.45,0.36,92.16,Medium
165.0,15.0,238.0,280.36,0.88,0.5,85.27,Good
185.0,184.0,28.0,59.62,0.74,0.42,166.51,Medium
153.0,164.0,15.0,64.43,0.83,0.35,143.72,Medium
235.0,218.0,137.0,49.59,0.71,0.73,213.85,Medium
35.0,192.0,22.0,115.41,0.79,0.42,125.68,Medium
105.0,,0.0,,,,,
34.0,129.0,146.0,189.11,0.62,0.35,102.53,Medium
87.0,64.0,201.0,250.07,0.56,0.52,86.5,Good
179.0,206.0,88.0,73.73,0.55,0.58,184.47,Medium
206.0,59.0,225.0,293.13,0.73,0.56,121.88,Good
254.0,232.0,237.0,346.36,0.92,0.95,239.15,Good
178.0,48.0,254.0,277.86,0.99,0.59,110.35,Good
27.0,223.0,181.0,167.14,0.78,0.49,159.61,Medium
242.0,107.0,120.0,354.22,0.84,0.68,148.85,Bad
184.0,134.0,62.0,35.41,0.5,0.48,140.74,Medium
12.0,137.0,92.0,158.4,0.84,0.29,94.49,Medium
76.0,67.0,74.0,313.33,0.06,0.28,70.49,Medium
85.0,167.0,156.0,171.95,0.33,0.49,141.23,Medium
126.0,62.0,206.0,266.67,0.6,0.53,97.55,Good
219.0,213.0,118.0,56.44,0.58,0.66,203.96,Medium
217.0,91.0,217.0,300.0,0.62,0.6,143.04,Good
,86.0,217.0,,,,,
45.0,26.0,229.0,245.62,0.8,0.5,54.82,Good
1.0,185.0,168.0,174.46,0.99,0.36,128.05,Medium
221.0,249.0,216.0,110.91,0.73,0.91,236.87,Good
164.0,77.0,149.0,310.34,0.36,0.47,111.22,Medium
141.0,82.0,81.0,1.0,0.27,0.44,99.53,Bad
151.0,54.0,37.0,8.95,0.61,0.37,81.06,Bad
23.0,213.0,236.0,186.48,0.85,0.51,158.81,Good
67.0,138.0,127.0,170.7,0.35,0.4,115.52,Medium
4.0,22.0,104.0,229.2,0.93,0.21,25.97,Medium
248.0,173.0,246.0,301.6,0.84,0.83,203.75,Good
0.0,211.0,60.0,137.06,1.0,0.41,130.7,Medium
28.0,215.0,139.0,155.61,0.77,0.48,150.42,Medium
43.0,61.0,10.0,81.18,0.72,0.14,49.8,Bad
156.0,171.0,156.0,120.0,0.08,0.64,164.8,Medium
,99.0,166.0,,,,,
206.0,70.0,174.0,314.12,0.58,0.54,122.52,Medium
255.0,249.0,80.0,57.94,1.0,0.66,231.53,Medium
229.0,145.0,226.0,302.14,0.62,0.73,179.35,Medium
229.0,22.0,152.0,322.32,0.82,0.49,98.71,Medium
197.0,13.0,94.0,333.59,0.88,0.41,77.25,Bad
8.0,81.0,212.0,218.53,0.93,0.43,74.11,Good
68.0,222.0,180.0,163.64,0.7,0.57,171.17,Medium
184.0,42.0,198.0,294.62,0.65,0.47,102.24,Good
,195.0,246.0,,,,,
68.0,126.0,106.0,159.31,0.3,0.38,106.38,Medium
176.0,223.0,181.0,126.38,0.42,0.78,204.16,Good
182.0,101.0,201.0,288.6,0.48,0.59,136.62,Good
78.0,35.0,9.0,22.61,0.79,0.17,44.89,Medium
90.0,121.0,132.0,195.71,0.19,0.44,112.98,Good
147.0,,171.0,,,,,
219.0,87.0,203.0,307.27,0.65,0.6,139.69,Medium
191.0,5.0,163.0,309.03,0.95,0.38,78.63,Medium
54.0,,184.0,,,,,
93.0,64.0,14.0,37.97,0.74,0.21,66.97,Medium
243.0,166.0,74.0,32.66,0.88,0.62,178.53,Medium
216.0,119.0,,,,,,
85.0,231.0,79.0,117.63,0.76,0.61,170.02,Medium
191.0,217.0,108.0,74.31,0.59,0.64,196.8,Medium
31.0,99.0,87.0,169.41,0.52,0.25,77.3,Medium
68.0,65.0,113.0,243.75,0.27,0.35,71.37,Medium
211.0,174.0,95.0,40.86,0.57,0.6,176.06,Medium
183.0,192.0,193.0,186.0,0.07,0.74,189.42,Good
34.0,178.0,24.0,116.1,0.76,0.4,117.39,Medium
141.0,136.0,6.0,57.78,0.92,0.29,122.67,Medium
172.0,50.0,112.0,329.51,0.55,0.44,93.55,Medium
125.0,16.0,107.0,309.91,0.77,0.28,58.96,Medium
94.0,,49.0,,,,,
200.0,211.0,123.0,67.5,0.5,0.65,197.68,Medium
124.0,74.0,64.0,10.0,0.32,0.37,87.81,Bad
216.0,189.0,244.0,269.45,0.71,0.85,203.34,Good
4.0,,,,,,,
59.0,41.0,168.0,248.5,0.61,0.41,60.86,Good
189.0,111.0,206.0,289.26,0.49,0.62,145.15,Good
165.0,151.0,156.0,338.57,0.07,0.62,155.76,Medium
242.0,248.0,12.0,61.53,0.94,0.51,219.3,Medium
,222.0,172.0,,,,,
137.0,128.0,206.0,246.92,0.44,0.65,139.58,Good
221.0,41.0,125.0,332.0,0.73,0.51,104.4,Bad
129.0,139.0,91.0,72.5,0.21,0.45,130.54,Medium
210.0,102.0,8.0,27.92,0.93,0.43,123.58,Bad
166.0,188.0,165.0,117.39,0.15,0.69,178.8,Medium
208.0,131.0,100.0,17.22,0.53,0.6,150.49,Bad
131.0,144.0,179.0,223.75,0.24,0.61,144.1,Good
80.0,168.0,137.0,158.86,0.35,0.49,138.15,Medium
210.0,,194.0,,,,,
,27.0,62.0,,,,,
217.0,205.0,165.0,46.15,0.41,0.75,204.03,Medium
93.0,228.0,252.0,189.06,0.96,0.68,190.37,Good
,72.0,196.0,,,,,
59.0,229.0,84.0,128.82,0.77,0.56,161.64,Medium
17.0,147.0,139.0,176.31,0.79,0.32,107.22,Medium
147.0,178.0,161.0,147.1,0.17,0.64,166.79,Medium
244.0,183.0,169.0,11.2,0.77,0.81,199.64,Good
13.0,1.0,60.0,252.2,0.97,0.12,11.31,Bad
147.0,185.0,89.0,83.75,0.41,0.54,162.69,Medium
5.0,88.0,54.0,155.42,0.89,0.18,59.31,Medium
180.0,48.0,172.0,303.64,0.58,0.45,101.6,Medium
11.0,136.0,220.0,204.11,0.9,0.45,108.2,Good
249.0,255.0,102.0,62.35,1.0,0.7,235.76,Medium
,207.0,228.0,,,,,
7.0,142.0,224.0,202.67,0.94,0.45,110.98,Good
185.0,140.0,248.0,265.0,0.89,0.76,165.77,Good
9.0,113.0,194.0,206.27,0.91,0.4,91.14,Medium
228.0,247.0,,,,,,
,62.0,127.0,,,,,
114.0,158.0,157.0,178.64,0.18,0.53,144.73,Medium
99.0,222.0,55.0,104.19,0.72,0.54,166.19,Medium
119.0,148.0,163.0,200.45,0.19,0.55,141.04,Good
80.0,95.0,78.0,112.94,0.1,0.34,88.58,Medium
38.0,86.0,175.0,218.98,0.64,0.42,81.79,Good
,132.0,195.0,,,,,
120.0,98.0,119.0,302.73,0.1,0.43,106.97,Medium
173.0,2.0,37.0,347.72,0.98,0.34,57.12,Bad
47.0,,202.0,,,,,
36.0,145.0,100.0,155.23,0.6,0.35,107.28,Medium
22.0,138.0,253.0,209.87,0.98,0.54,116.43,Good
243.0,93.0,138.0,342.0,0.86,0.66,142.98,Bad
63.0,55.0,203.0,243.24,0.59,0.51,74.26,Good
119.0,238.0,184.0,152.77,0.78,0.7,196.26,Medium
208.0,114.0,69.0,19.42,0.6,0.54,136.98,Bad
74.0,118.0,108.0,166.36,0.23,0.38,103.7,Medium
73.0,67.0,58.0,36.0,0.11,0.26,67.77,Medium
,222.0,65.0,,,,,
94.0,9.0,35.0,341.65,0.83,0.2,37.38,Medium
130.0,12.0,67.0,332.03,0.83,0.28,53.55,Bad
50.0,154.0,232.0,205.71,0.8,0.55,131.8,Good
24.0,229.0,231.0,180.58,0.81,0.5,167.93,Good
142.0,139.0,,,,,,
112.0,148.0,95.0,100.75,0.22,0.48,131.19,Medium
0.0,,253.0,,,,,
58.0,4.0,81.0,282.08,0.91,0.17,28.92,Medium
139.0,173.0,223.0,215.71,0.57,0.71,168.53,Good
44.0,97.0,79.0,159.62,0.38,0.28,79.1,Medium
202.0,164.0,179.0,336.32,0.26,0.72,177.07,Bad
245.0,60.0,226.0,306.16,0.9,0.6,134.24,Medium
118.0,,141.0,,,,,
,198.0,251.0,,,,,
114.0,85.0,165.0,261.75,0.32,0.49,102.79,Good
227.0,11.0,125.0,328.33,0.91,0.47,88.58,Medium
179.0,1.0,254.0,282.21,0.99,0.5,83.06,Good
245.0,120.0,99.0,8.63,0.88,0.67,154.98,Bad
196.0,134.0,52.0,34.17,0.58,0.49,143.19,Medium
154.0,178.0,174.0,170.0,0.13,0.65,170.37,Medium
38.0,38.0,6.0,60.0,0.73,0.09,34.35,Bad
169.0,251.0,205.0,146.34,0.91,0.82,221.24,Good
13.0,181.0,228.0,193.12,0.89,0.47,136.13,Good
229.0,243.0,90.0,65.49,0.86,0.65,221.37,Medium
231.0,60.0,188.0,315.09,0.78,0.57,125.72,Medium
,134.0,99.0,,,,,
5.0,201.0,,,,,,
140.0,102.0,127.0,320.53,0.16,0.47,116.21,Medium
214.0,131.0,122.0,5.87,0.53,0.66,154.79,Bad
222.0,139.0,119.0,11.65,0.61,0.67,161.54,Bad
209.0,209.0,113.0,60.0,0.51,0.63,198.06,Medium
47.0,25.0,117.0,254.35,0.65,0.28,42.07,Medium
187.0,,11.0,,,,,
141.0,161.0,110.0,83.53,0.21,0.53,149.21,Medium
84.0,95.0,199.0,234.26,0.51,0.55,103.57,Good
32.0,51.0,70.0,210.0,0.37,0.2,47.48,Medium
68.0,85.0,35.0,80.4,0.42,0.24,74.22,Medium
196.0,54.0,81.0,348.59,0.57,0.49,99.54,Bad
49.0,109.0,54.0,125.0,0.38,0.31,84.79,Medium
140.0,81.0,172.0,278.9,0.36,0.5,109.02,Good
,214.0,138.0,,,,,
130.0,207.0,128.0,118.48,0.45,0.66,174.97,Medium
255.0,21.0,43.0,354.36,1.0,0.54,93.47,Bad
87.0,,83.0,,,,,
169.0,26.0,24.0,0.83,0.75,0.38,68.53,Bad
21.0,214.0,,,,,,
156.0,113.0,177.0,280.31,0.29,0.57,133.15,Good
154.0,93.0,187.0,278.94,0.41,0.55,121.95,Good
237.0,32.0,56.0,352.98,0.85,0.53,96.03,Bad
143.0,135.0,69.0,53.51,0.35,0.42,129.87,Medium
173.0,173.0,207.0,240.0,0.26,0.75,176.88,Good
206.0,188.0,147.0,41.69,0.38,0.69,188.71,Medium
19.0,253.0,25.0,121.54,0.98,0.53,157.04,Medium
122.0,80.0,252.0,254.65,0.97,0.65,112.17,Good
,143.0,181.0,,,,,
52.0,,166.0,,,,,
47.0,164.0,162.0,178.97,0.55,0.41,128.79,Medium
22.0,214.0,28.0,121.88,0.81,0.46,135.39,Medium
184.0,214.0,174.0,105.0,0.33,0.76,200.47,Good
208.0,93.0,169.0,320.35,0.55,0.59,136.05,Medium
,166.0,163.0,,,,,
213.0,208.0,175.0,52.11,0.31,0.76,205.73,Good
11.0,235.0,218.0,175.45,0.91,0.48,166.09,Medium
174.0,169.0,91.0,56.39,0.34,0.52,161.6,Medium
,253.0,212.0,,,,,
91.0,58.0,109.0,278.82,0.31,0.33,73.68,Medium
240.0,50.0,191.0,315.47,0.86,0.57,122.88,Medium
47.0,251.0,232.0,174.41,0.96,0.58,187.84,Medium
143.0,124.0,132.0,334.74,0.08,0.52,130.59,Medium
169.0,226.0,,,,,,
144.0,162.0,240.0,228.75,0.76,0.75,165.51,Good
151.0,223.0,160.0,127.5,0.53,0.73,194.29,Medium
191.0,161.0,201.0,285.0,0.27,0.71,174.53,Good
11.0,204.0,196.0,177.51,0.9,0.42,145.38,Medium
237.0,25.0,138.0,328.02,0.85,0.51,101.27,Medium
91.0,208.0,73.0,112.0,0.59,0.55,157.63,Medium
250.0,133.0,160.0,346.15,0.92,0.75,171.06,Bad
128.0,47.0,241.0,265.05,0.87,0.56,93.33,Good
210.0,106.0,198.0,306.92,0.54,0.62,147.58,Medium
208.0,152.0,89.0,31.76,0.56,0.58,161.56,Medium
183.0,,90.0,,,,,
166.0,169.0,240.0,237.57,0.71,0.8,176.2,Good
163.0,42.0,244.0,275.94,0.9,0.56,101.21,Good
14.0,46.0,208.0,230.1,0.87,0.44,54.9,Good
184.0,207.0,161.0,90.0,0.32,0.72,194.88,Medium
145.0,239.0,197.0,153.19,0.75,0.75,206.11,Medium
187.0,,28.0,,,,,
140.0,245.0,109.0,106.32,0.87,0.69,198.1,Medium
163.0,136.0,94.0,36.52,0.27,0.5,139.28,Medium
225.0,88.0,183.0,318.39,0.7,0.61,139.79,Medium
127.0,54.0,126.0,300.82,0.4,0.35,84.03,Medium
122.0,132.0,116.0,97.5,0.06,0.49,127.19,Medium
225.0,37.0,171.0,317.23,0.76,0.51,108.49,Medium
224.0,35.0,87.0,343.49,0.75,0.51,97.44,Bad
176.0,45.0,213.0,286.79,0.67,0.51,103.32,Good
209.0,137.0,104.0,18.86,0.53,0.61,154.77,Bad
239.0,102.0,171.0,329.78,0.81,0.67,150.83,Medium
206.0,188.0,54.0,52.89,0.61,0.51,178.11,Medium
143.0,251.0,113.0,106.96,0.95,0.71,202.98,Medium
63.0,170.0,243.0,204.33,0.88,0.6,146.33,Good
97.0,7.0,168.0,273.54,0.92,0.34,52.26,Medium
179.0,107.0,67.0,21.43,0.46,0.48,123.97,Bad
202.0,180.0,77.0,49.44,0.54,0.55,174.84,Medium
21.0,167.0,17.0,118.4,0.82,0.36,106.25,Medium
3.0,75.0,123.0,204.0,0.95,0.25,58.94,Medium
23.0,174.0,149.0,170.07,0.77,0.39,126.0,Medium
64.0,42.0,199.0,248.41,0.65,0.47,66.48,Good
102.0,,102.0,,,,,
157.0,216.0,182.0,145.42,0.43,0.73,194.48,Medium
,114.0,,,,,,
67.0,187.0,144.0,158.5,0.47,0.5,146.22,Medium
62.0,239.0,230.0,176.95,0.85,0.59,185.05,Medium
123.0,150.0,148.0,175.56,0.11,0.54,141.7,Medium
1.0,230.0,116.0,150.13,0.99,0.45,148.53,Medium
236.0,15.0,31.0,355.66,0.88,0.49,82.9,Bad
137.0,150.0,66.0,69.29,0.39,0.42,136.54,Medium
,150.0,135.0,,,,,
216.0,58.0,59.0,359.62,0.67,0.54,105.36,Bad
162.0,51.0,140.0,311.89,0.52,0.42,94.34,Medium
146.0,152.0,196.0,232.8,0.3,0.67,155.22,Good
109.0,175.0,179.0,183.43,0.32,0.56,155.72,Good
33.0,44.0,143.0,234.0,0.62,0.35,52.0,Medium
19.0,88.0,183.0,214.76,0.81,0.4,78.2,Medium
48.0,86.0,249.0,228.66,0.94,0.58,93.22,Good
,219.0,26.0,,,,,
110.0,55.0,60.0,354.55,0.33,0.32,72.02,Bad
189.0,14.0,149.0,313.71,0.86,0.4,81.72,Medium
,39.0,111.0,,,,,
130.0,144.0,55.0,69.44,0.45,0.39,129.67,Medium
226.0,12.0,,,,,,
7.0,7.0,38.0,240.0,0.69,0.09,10.53,Bad
105.0,192.0,94.0,113.27,0.44,0.56,154.81,Medium
202.0,210.0,35.0,62.74,0.71,0.48,187.66,Medium
104.0,23.0,66.0,328.15,0.64,0.25,52.12,Medium
91.0,234.0,254.0,187.36,0.99,0.68,193.52,Good
143.0,221.0,136.0,115.06,0.56,0.7,187.99,Medium
1.0,91.0,64.0,162.0,0.98,0.18,61.01,Medium
90.0,,140.0,,,,,
153.0,202.0,114.0,93.41,0.45,0.62,177.32,Medium
234.0,189.0,238.0,295.1,0.59,0.84,208.04,Good
242.0,209.0,109.0,45.11,0.84,0.69,207.47,Medium
24.0,71.0,205.0,224.42,0.79,0.45,72.22,Good
54.0,8.0,99.0,270.33,0.85,0.21,32.13,Medium
182.0,116.0,243.0,271.18,0.84,0.7,150.21,Good
,,128.0,,,,,
179.0,23.0,105.0,328.46,0.77,0.4,78.99,Medium
37.0,34.0,229.0,240.92,0.79,0.52,57.13,Good
238.0,121.0,123.0,358.97,0.77,0.7,156.21,Bad
18.0,68.0,82.0,193.12,0.64,0.2,54.65,Medium
95.0,191.0,162.0,161.87,0.43,0.56,158.99,Medium
180.0,135.0,188.0,290.94,0.28,0.63,154.5,Good
206.0,248.0,238.0,165.71,0.75,0.89,234.3,Good
30.0,156.0,84.0,145.71,0.68,0.36,110.12,Medium
176.0,178.0,158.0,66.0,0.11,0.66,175.12,Medium
53.0,95.0,186.0,221.05,0.56,0.47,92.82,Good
169.0,23.0,234.0,281.52,0.83,0.5,90.71,Good
121.0,45.0,166.0,277.69,0.57,0.41,81.52,Good
255.0,65.0,127.0,340.42,1.0,0.63,128.88,Bad
117.0,192.0,254.0,207.15,0.99,0.73,176.64,Good
150.0,117.0,52.0,39.8,0.49,0.4,119.46,Medium
146.0,33.0,9.0,10.51,0.88,0.3,64.05,Bad
,28.0,82.0,,,,,
204.0,231.0,134.0,76.7,0.67,0.72,211.87,Medium
216.0,240.0,78.0,68.89,0.84,0.62,214.36,Medium
253.0,131.0,165.0,343.28,0.97,0.75,171.35,Bad
54.0,151.0,234.0,207.67,0.81,0.56,131.46,Good
8.0,115.0,225.0,210.41,0.93,0.46,95.55,Good
96.0,112.0,90.0,103.64,0.11,0.4,104.71,Medium
223.0,236.0,235.0,175.38,0.25,0.9,232.0,Good
237.0,231.0,57.0,58.0,0.83,0.58,212.96,Medium
18.0,144.0,226.0,203.65,0.85,0.48,115.67,Good
111.0,38.0,182.0,270.42,0.65,0.43,76.24,Good
211.0,18.0,145.0,320.52,0.84,0.45,90.19,Medium
88.0,177.0,146.0,159.1,0.36,0.52,146.86,Medium
110.0,248.0,203.0,160.43,0.91,0.7,201.61,Medium
7.0,208.0,48.0,132.24,0.93,0.42,129.66,Medium
48.0,15.0,20.0,350.91,0.52,0.12,25.44,Bad
128.0,55.0,225.0,265.76,0.74,0.55,96.21,Good
31.0,194.0,119.0,152.39,0.72,0.44,136.71,Medium
44.0,32.0,190.0,244.56,0.71,0.44,53.6,Good
,99.0,211.0,,,,,
22.0,99.0,167.0,208.14,0.77,0.37,83.73,Medium
16.0,184.0,240.0,195.0,0.88,0.5,140.15,Good
13.0,149.0,249.0,205.42,0.95,0.51,119.74,Good
128.0,,104.0,,,,,
166.0,172.0,234.0,234.71,0.62,0.78,177.27,Good
,106.0,125.0,,,,,
