R,G,B,H,S,L,Brightness,Target
34.0,159.0,137.0,169.44,0.65,0.38,119.12,Medium
,50.0,50.0,,,,,
229.0,165.0,97.0,30.91,0.72,0.64,176.38,Medium
51.0,236.0,128.0,144.97,0.83,0.56,168.37,Medium
84.0,132.0,63.0,101.74,0.35,0.38,109.78,Medium
63.0,,,,,,,
249.0,153.0,89.0,24.0,0.93,0.66,174.41,Bad
,169.0,26.0,,,,,
77.0,164.0,62.0,111.18,0.45,0.44,126.36,Medium
111.0,90.0,95.0,345.71,0.1,0.39,96.85,Bad
190.0,46.0,185.0,302.08,0.61,0.46,104.9,Medium
12.0,7.0,95.0,243.41,0.86,0.2,18.53,Medium
161.0,36.0,44.0,356.16,0.63,0.39,74.29,Bad
20.0,,,,,,,
213.0,49.0,103.0,340.24,0.66,0.51,104.19,Bad
248.0,148.0,69.0,26.48,0.93,0.62,168.89,Bad
5.0,47.0,121.0,218.28,0.92,0.25,42.88,Medium
123.0,,175.0,,,,,
25.0,188.0,25.0,120.0,0.77,0.42,120.68,Medium
57.0,243.0,219.0,172.26,0.89,0.59,184.65,Medium
246.0,70.0,190.0,319.09,0.91,0.62,136.3,Medium
36.0,,236.0,,,,,
52.0,128.0,10.0,98.64,0.86,0.27,91.82,Medium
157.0,29.0,30.0,359.53,0.69,0.36,67.39,Bad
207.0,179.0,179.0,0.0,0.23,0.76,187.37,Good
25.0,187.0,246.0,196.02,0.92,0.53,145.29,Good
245.0,55.0,203.0,313.26,0.9,0.59,128.68,Medium
90.0,54.0,26.0,26.25,0.55,0.23,61.57,Bad
102.0,,99.0,,,,,
194.0,150.0,69.0,38.88,0.51,0.52,153.92,Medium
143.0,191.0,45.0,79.73,0.62,0.46,160.0,Medium
,8.0,228.0,,,,,
48.0,198.0,58.0,124.0,0.61,0.48,137.19,Medium
153.0,235.0,131.0,107.31,0.72,0.72,198.63,Medium
123.0,4.0,62.0,330.76,0.94,0.25,46.19,Bad
,99.0,81.0,,,,,
57.0,195.0,,,,,,
11.0,,200.0,,,,,
26.0,139.0,193.0,199.4,0.76,0.43,111.37,Good
50.0,,,,,,,
212.0,18.0,92.0,337.11,0.84,0.45,84.44,Bad
46.0,143.0,82.0,142.27,0.51,0.37,107.04,Medium
170.0,124.0,132.0,349.57,0.21,0.58,138.67,Bad
172.0,137.0,164.0,313.71,0.17,0.61,150.54,Medium
40.0,,75.0,,,,,
51.0,,33.0,,,,,
55.0,149.0,83.0,137.87,0.46,0.4,113.37,Medium
251.0,249.0,244.0,42.86,0.47,0.97,249.03,Good
221.0,154.0,50.0,36.49,0.72,0.53,162.18,Medium
142.0,239.0,,,,,,
108.0,82.0,201.0,253.11,0.52,0.55,103.34,Good
227.0,99.0,252.0,290.2,0.96,0.69,154.71,Good
151.0,168.0,101.0,75.22,0.28,0.53,155.28,Medium
142.0,157.0,143.0,124.0,0.07,0.59,150.92,Medium
175.0,5.0,46.0,345.53,0.94,0.35,60.5,Bad
103.0,83.0,194.0,250.81,0.48,0.54,101.63,Good
202.0,191.0,31.0,56.14,0.73,0.46,176.05,Medium
68.0,111.0,,,,,,
185.0,7.0,101.0,328.31,0.93,0.38,70.94,Medium
45.0,,228.0,,,,,
116.0,236.0,33.0,95.47,0.84,0.53,176.98,Medium
,13.0,10.0,,,,,
158.0,62.0,169.0,293.83,0.46,0.45,102.9,Good
165.0,118.0,222.0,267.12,0.61,0.67,143.91,Good
173.0,62.0,20.0,16.47,0.79,0.38,90.4,Bad
94.0,159.0,,,,,,
64.0,112.0,142.0,203.08,0.38,0.4,101.07,Medium
208.0,202.0,69.0,57.41,0.6,0.54,188.63,Medium
226.0,132.0,145.0,351.7,0.62,0.7,161.59,Bad
9.0,4.0,201.0,241.52,0.96,0.4,27.95,Medium
219.0,0.0,247.0,293.2,1.0,0.48,93.64,Good
138.0,133.0,254.0,242.48,0.98,0.76,148.29,Good
130.0,100.0,169.0,266.09,0.29,0.53,116.84,Good
174.0,8.0,15.0,357.47,0.91,0.36,58.43,Bad
214.0,145.0,184.0,326.09,0.46,0.7,170.08,Medium
9.0,228.0,100.0,144.93,0.92,0.46,147.93,Medium
181.0,218.0,224.0,188.37,0.41,0.79,207.62,Good
19.0,113.0,173.0,203.38,0.8,0.38,91.73,Medium
37.0,45.0,170.0,236.39,0.64,0.41,56.86,Good
171.0,97.0,28.0,28.95,0.72,0.39,111.26,Bad
129.0,180.0,172.0,170.59,0.25,0.61,163.84,Medium
83.0,62.0,196.0,249.4,0.53,0.51,83.56,Good
83.0,45.0,123.0,269.23,0.46,0.33,65.25,Medium
44.0,252.0,221.0,171.06,0.97,0.58,186.27,Medium
170.0,57.0,207.0,285.2,0.61,0.52,107.89,Good
,72.0,193.0,,,,,
113.0,154.0,236.0,220.0,0.76,0.68,151.09,Good
127.0,152.0,26.0,71.9,0.71,0.35,130.16,Medium
203.0,148.0,81.0,32.95,0.54,0.56,156.81,Medium
190.0,19.0,107.0,329.12,0.82,0.41,80.16,Medium
114.0,218.0,218.0,180.0,0.58,0.65,186.9,Good
11.0,,68.0,,,,,
184.0,229.0,234.0,186.0,0.54,0.82,216.12,Good
,197.0,232.0,,,,,
47.0,110.0,2.0,95.0,0.96,0.22,78.85,Medium
250.0,,156.0,,,,,
81.0,,227.0,,,,,
191.0,,,,,,,
110.0,240.0,253.0,185.45,0.97,0.71,202.61,Good
14.0,61.0,214.0,225.9,0.88,0.45,64.39,Good
73.0,154.0,178.0,193.71,0.42,0.49,132.52,Good
198.0,91.0,129.0,338.69,0.48,0.57,127.33,Bad
163.0,181.0,122.0,78.31,0.29,0.59,168.89,Medium
188.0,251.0,144.0,95.33,0.93,0.77,219.96,Good
191.0,238.0,52.0,75.16,0.85,0.57,202.74,Medium
254.0,232.0,58.0,53.27,0.99,0.61,218.74,Medium
49.0,163.0,129.0,162.11,0.54,0.42,125.04,Medium
181.0,240.0,237.0,176.95,0.66,0.83,222.02,Good
255.0,114.0,166.0,337.87,1.0,0.72,162.09,Bad
231.0,137.0,22.0,33.01,0.83,0.5,152.0,Medium
173.0,221.0,191.0,142.5,0.41,0.77,203.23,Good
179.0,241.0,35.0,78.06,0.88,0.54,198.98,Medium
148.0,62.0,90.0,340.47,0.41,0.41,90.91,Bad
4.0,100.0,190.0,209.03,0.96,0.38,81.56,Medium
236.0,151.0,231.0,303.53,0.69,0.76,185.53,Good
212.0,125.0,,,,,,
75.0,68.0,125.0,247.37,0.3,0.38,76.59,Medium
80.0,8.0,,,,,,
174.0,83.0,64.0,10.36,0.46,0.47,108.04,Bad
139.0,237.0,244.0,184.0,0.83,0.75,208.5,Good
2.0,68.0,97.0,198.32,0.96,0.19,51.57,Medium
192.0,117.0,120.0,357.6,0.37,0.61,139.77,Bad
5.0,32.0,,,,,,
29.0,219.0,35.0,121.89,0.77,0.49,141.21,Medium
,182.0,251.0,,,,,
180.0,101.0,192.0,292.09,0.42,0.57,135.0,Good
174.0,213.0,184.0,135.38,0.32,0.76,198.03,Good
13.0,216.0,221.0,181.44,0.89,0.46,155.87,Good
109.0,172.0,62.0,94.36,0.47,0.46,140.62,Medium
41.0,53.0,48.0,155.0,0.13,0.18,48.84,Medium
127.0,220.0,14.0,87.09,0.88,0.46,168.71,Medium
133.0,224.0,252.0,194.12,0.95,0.75,199.98,Good
18.0,195.0,33.0,125.08,0.83,0.42,123.61,Medium
242.0,44.0,132.0,333.33,0.88,0.56,113.23,Bad
217.0,47.0,249.0,290.5,0.94,0.58,120.86,Good
66.0,175.0,138.0,159.63,0.45,0.47,138.19,Medium
195.0,42.0,92.0,340.39,0.65,0.46,93.45,Bad
219.0,78.0,,,,,,
221.0,89.0,232.0,295.38,0.76,0.63,144.77,Good
18.0,213.0,60.0,132.92,0.84,0.45,137.25,Medium
229.0,,114.0,,,,,
,136.0,214.0,,,,,
253.0,172.0,202.0,337.78,0.95,0.83,199.64,Good
131.0,63.0,125.0,305.29,0.35,0.38,90.4,Medium
23.0,5.0,90.0,252.71,0.89,0.19,20.07,Medium
163.0,116.0,198.0,274.39,0.42,0.62,139.4,Good
251.0,73.0,117.0,345.17,0.96,0.64,131.24,Bad
113.0,188.0,99.0,110.56,0.4,0.56,155.43,Medium
180.0,,,,,,,
186.0,158.0,29.0,49.3,0.73,0.42,151.67,Medium
244.0,74.0,81.0,357.53,0.89,0.62,125.63,Bad
11.0,184.0,148.0,167.51,0.89,0.38,128.17,Medium
191.0,114.0,159.0,324.94,0.38,0.6,142.15,Medium
172.0,113.0,223.0,272.18,0.63,0.66,143.18,Good
121.0,230.0,67.0,100.12,0.77,0.58,178.83,Medium
196.0,134.0,50.0,34.52,0.59,0.48,142.96,Medium
106.0,70.0,30.0,31.58,0.56,0.27,76.2,Medium
146.0,127.0,65.0,45.93,0.38,0.41,125.61,Medium
212.0,43.0,83.0,345.8,0.66,0.5,98.09,Bad
174.0,234.0,9.0,76.0,0.93,0.48,190.41,Medium
158.0,123.0,132.0,344.57,0.15,0.55,134.49,Bad
8.0,136.0,,,,,,
10.0,172.0,196.0,187.74,0.9,0.4,126.3,Medium
251.0,103.0,208.0,317.43,0.95,0.69,159.22,Medium
206.0,73.0,186.0,309.02,0.58,0.55,125.65,Medium
80.0,73.0,208.0,243.11,0.59,0.55,90.48,Good
114.0,119.0,48.0,64.23,0.43,0.33,109.41,Medium
84.0,,41.0,,,,,
195.0,245.0,77.0,77.86,0.89,0.63,210.9,Medium
61.0,,33.0,,,,,
180.0,207.0,154.0,90.57,0.36,0.71,192.88,Medium
7.0,33.0,119.0,226.07,0.89,0.25,35.03,Medium
112.0,207.0,177.0,161.05,0.5,0.63,175.17,Medium
72.0,44.0,,,,,,
194.0,143.0,109.0,24.0,0.41,0.59,154.37,Bad
211.0,32.0,47.0,354.97,0.74,0.48,87.23,Bad
29.0,44.0,68.0,216.92,0.4,0.19,42.25,Medium
66.0,49.0,16.0,39.6,0.61,0.16,50.32,Medium
218.0,197.0,19.0,53.67,0.84,0.46,182.99,Medium
217.0,71.0,143.0,330.41,0.66,0.56,122.86,Bad
228.0,68.0,202.0,309.75,0.75,0.58,131.12,Medium
63.0,113.0,208.0,219.31,0.61,0.53,108.88,Good
59.0,68.0,79.0,213.0,0.14,0.27,66.56,Medium
153.0,112.0,174.0,279.68,0.28,0.56,131.33,Good
225.0,250.0,227.0,124.8,0.71,0.93,239.9,Good
210.0,231.0,209.0,117.27,0.31,0.86,222.21,Good
234.0,226.0,76.0,56.96,0.79,0.61,211.29,Medium
95.0,169.0,,,,,,
,182.0,198.0,,,,,
29.0,28.0,93.0,240.92,0.54,0.24,35.71,Medium
21.0,205.0,197.0,177.39,0.81,0.44,149.07,Medium
227.0,211.0,159.0,45.88,0.55,0.76,209.86,Good
151.0,213.0,201.0,168.39,0.42,0.71,193.09,Medium
194.0,110.0,39.0,27.48,0.67,0.46,127.02,Bad
212.0,42.0,233.0,293.4,0.81,0.54,114.6,Good
148.0,13.0,201.0,283.09,0.88,0.42,74.8,Good
187.0,43.0,172.0,306.25,0.63,0.45,100.76,Medium
130.0,180.0,255.0,216.0,1.0,0.75,173.6,Good
186.0,174.0,102.0,51.43,0.38,0.56,169.38,Medium
20.0,,243.0,,,,,
42.0,236.0,7.0,110.83,0.94,0.48,151.89,Medium
71.0,,217.0,,,,,
88.0,212.0,138.0,144.19,0.59,0.59,166.49,Medium
129.0,206.0,188.0,165.97,0.44,0.66,180.93,Medium
172.0,16.0,225.0,284.78,0.87,0.47,86.47,Good
20.0,243.0,146.0,153.9,0.9,0.52,165.26,Medium
156.0,10.0,131.0,310.27,0.88,0.33,67.45,Medium
100.0,249.0,62.0,107.81,0.94,0.61,183.13,Medium
7.0,168.0,228.0,196.29,0.94,0.46,126.7,Good
109.0,144.0,250.0,225.11,0.93,0.7,145.62,Good
149.0,23.0,,,,,,
218.0,172.0,25.0,45.7,0.79,0.48,169.0,Medium
144.0,239.0,146.0,121.26,0.75,0.75,199.99,Medium
82.0,77.0,18.0,55.31,0.64,0.2,71.77,Medium
,51.0,190.0,,,,,
97.0,193.0,34.0,96.23,0.7,0.45,146.17,Medium
200.0,184.0,29.0,54.39,0.75,0.45,171.11,Medium
21.0,47.0,215.0,231.96,0.82,0.46,58.38,Good
101.0,156.0,37.0,87.73,0.62,0.38,125.99,Medium
171.0,61.0,90.0,344.18,0.47,0.45,97.2,Bad
141.0,69.0,81.0,350.0,0.34,0.41,91.9,Bad
55.0,93.0,27.0,94.55,0.55,0.24,74.11,Medium
154.0,207.0,244.0,204.67,0.8,0.78,195.37,Good
214.0,7.0,186.0,308.12,0.94,0.43,89.3,Medium
111.0,75.0,247.0,252.56,0.91,0.63,105.37,Good
138.0,131.0,50.0,55.23,0.47,0.37,123.86,Medium
69.0,79.0,37.0,74.29,0.36,0.23,71.22,Medium
148.0,24.0,213.0,279.37,0.8,0.46,82.62,Good
81.0,201.0,188.0,173.5,0.53,0.55,163.64,Medium
78.0,,198.0,,,,,
219.0,101.0,251.0,287.2,0.95,0.69,153.38,Good
,81.0,,,,,,
242.0,23.0,105.0,337.53,0.89,0.52,97.83,Bad
,211.0,163.0,,,,,
185.0,166.0,182.0,309.47,0.12,0.69,173.5,Medium
31.0,149.0,125.0,167.8,0.66,0.35,110.98,Medium
231.0,60.0,153.0,327.37,0.78,0.57,121.73,Medium
28.0,138.0,80.0,148.36,0.66,0.33,98.5,Medium
154.0,97.0,64.0,22.0,0.41,0.43,110.28,Bad
125.0,118.0,76.0,51.43,0.24,0.39,115.3,Medium
39.0,210.0,192.0,173.68,0.69,0.49,156.82,Medium
77.0,60.0,104.0,263.18,0.27,0.32,70.1,Medium
250.0,183.0,215.0,331.34,0.87,0.85,206.68,Good
58.0,,195.0,,,,,
181.0,41.0,202.0,292.17,0.66,0.48,101.21,Good
176.0,240.0,223.0,164.06,0.68,0.82,218.93,Good
215.0,146.0,113.0,19.41,0.56,0.64,162.87,Bad
144.0,207.0,214.0,186.0,0.46,0.7,188.96,Good
245.0,168.0,76.0,32.66,0.89,0.63,180.53,Medium
112.0,177.0,57.0,92.5,0.51,0.46,143.88,Medium
37.0,253.0,73.0,130.0,0.98,0.57,167.9,Medium
52.0,,146.0,,,,,
155.0,131.0,217.0,256.74,0.53,0.68,147.98,Good
244.0,184.0,47.0,41.73,0.9,0.57,186.32,Medium
4.0,200.0,194.0,178.16,0.96,0.4,140.71,Medium
247.0,164.0,79.0,30.36,0.91,0.64,179.13,Medium
,80.0,15.0,,,,,
104.0,100.0,254.0,241.56,0.99,0.69,118.75,Good
,132.0,118.0,,,,,
14.0,236.0,136.0,152.97,0.89,0.49,158.22,Medium
,165.0,3.0,,,,,
,17.0,155.0,,,,,
152.0,5.0,,,,,,
15.0,106.0,90.0,169.45,0.75,0.24,76.97,Medium
105.0,78.0,109.0,292.26,0.17,0.37,89.61,Medium
55.0,110.0,58.0,123.27,0.33,0.32,87.63,Medium
205.0,108.0,46.0,23.4,0.63,0.49,129.94,Bad
119.0,206.0,114.0,116.74,0.48,0.63,169.5,Medium
28.0,117.0,11.0,110.38,0.83,0.25,78.31,Medium
133.0,179.0,28.0,78.28,0.73,0.41,148.03,Medium
203.0,211.0,110.0,64.75,0.53,0.63,197.09,Medium
205.0,125.0,,,,,,
27.0,6.0,80.0,257.03,0.86,0.17,20.72,Medium
37.0,177.0,127.0,158.57,0.65,0.42,129.44,Medium
77.0,126.0,66.0,109.0,0.31,0.38,104.51,Medium
,153.0,85.0,,,,,
130.0,81.0,20.0,33.27,0.73,0.29,88.7,Medium
68.0,254.0,71.0,120.97,0.99,0.63,177.52,Medium
205.0,24.0,83.0,340.44,0.79,0.45,84.84,Bad
172.0,64.0,119.0,329.44,0.46,0.46,102.56,Medium
172.0,194.0,29.0,68.0,0.74,0.44,168.61,Medium
22.0,192.0,202.0,183.33,0.8,0.44,142.31,Good
51.0,140.0,143.0,181.96,0.47,0.38,113.73,Medium
122.0,84.0,219.0,256.89,0.65,0.59,110.75,Good
17.0,183.0,91.0,146.75,0.83,0.39,122.88,Medium
39.0,10.0,152.0,252.25,0.88,0.32,34.86,Medium
102.0,70.0,86.0,330.0,0.19,0.34,81.39,Medium
162.0,32.0,107.0,325.38,0.67,0.38,79.42,Medium
250.0,15.0,,,,,,
237.0,2.0,4.0,359.49,0.98,0.47,72.49,Bad
67.0,117.0,33.0,95.71,0.56,0.29,92.47,Medium
173.0,203.0,30.0,70.4,0.74,0.46,174.31,Medium
,53.0,250.0,,,,,
6.0,12.0,83.0,235.32,0.87,0.17,18.3,Medium
47.0,9.0,201.0,251.88,0.91,0.41,42.25,Good
97.0,254.0,172.0,148.66,0.99,0.69,197.71,Medium
24.0,208.0,185.0,172.5,0.79,0.45,150.36,Medium
154.0,13.0,220.0,280.87,0.89,0.46,78.76,Good
240.0,102.0,116.0,353.91,0.82,0.67,144.86,Bad
211.0,215.0,194.0,71.43,0.21,0.8,211.41,Good
252.0,198.0,208.0,348.89,0.9,0.88,215.29,Good
39.0,252.0,53.0,123.94,0.97,0.57,165.63,Medium
49.0,236.0,109.0,139.25,0.83,0.56,165.61,Medium
189.0,115.0,144.0,336.49,0.36,0.6,140.43,Bad
76.0,105.0,7.0,77.76,0.87,0.22,85.16,Medium
126.0,128.0,250.0,239.03,0.93,0.74,141.31,Good
198.0,35.0,227.0,290.94,0.77,0.51,105.62,Good
140.0,214.0,159.0,135.41,0.47,0.69,185.6,Medium
107.0,52.0,229.0,258.64,0.77,0.55,88.62,Good
214.0,224.0,28.0,63.06,0.78,0.49,198.67,Medium
252.0,82.0,141.0,339.18,0.97,0.65,139.56,Bad
244.0,89.0,40.0,14.41,0.9,0.56,129.76,Bad
208.0,151.0,148.0,3.0,0.39,0.7,167.7,Bad
71.0,8.0,112.0,276.35,0.87,0.24,38.69,Medium
10.0,167.0,246.0,200.08,0.93,0.5,129.06,Good
2.0,,150.0,,,,,
158.0,170.0,68.0,67.06,0.43,0.47,154.78,Medium
93.0,209.0,51.0,104.05,0.63,0.51,156.3,Medium
104.0,149.0,39.0,84.55,0.59,0.37,123.0,Medium
43.0,,63.0,,,,,
184.0,246.0,169.0,108.31,0.81,0.81,218.68,Good
232.0,21.0,189.0,312.23,0.83,0.5,103.24,Medium
216.0,84.0,123.0,342.27,0.63,0.59,127.91,Bad
92.0,88.0,,,,,,
66.0,171.0,227.0,200.87,0.74,0.57,145.99,Good
191.0,236.0,62.0,75.52,0.82,0.58,202.71,Medium
247.0,50.0,79.0,351.17,0.92,0.58,112.21,Bad
224.0,166.0,125.0,24.85,0.61,0.68,178.67,Bad
79.0,13.0,148.0,269.33,0.84,0.32,48.12,Medium
135.0,90.0,11.0,38.23,0.85,0.29,94.45,Medium
80.0,35.0,186.0,257.88,0.68,0.43,65.67,Good
61.0,153.0,227.0,206.75,0.75,0.56,133.93,Good
85.0,73.0,83.0,310.0,0.08,0.31,77.73,Medium
153.0,33.0,62.0,345.5,0.65,0.36,72.19,Bad
,246.0,,,,,,
,96.0,23.0,,,,,
194.0,225.0,124.0,78.42,0.63,0.68,204.22,Medium
58.0,19.0,194.0,253.37,0.82,0.42,50.61,Good
46.0,2.0,214.0,252.45,0.98,0.42,39.32,Good
148.0,105.0,157.0,289.62,0.21,0.51,123.78,Good
143.0,113.0,79.0,31.87,0.29,0.44,118.09,Medium
,132.0,193.0,,,,,
42.0,10.0,211.0,249.55,0.91,0.43,42.48,Good
235.0,130.0,195.0,322.86,0.72,0.72,168.8,Medium
41.0,193.0,236.0,193.23,0.84,0.54,152.45,Good
122.0,,157.0,,,,,
195.0,209.0,232.0,217.3,0.45,0.84,207.44,Good
60.0,69.0,73.0,198.46,0.1,0.26,66.77,Medium
249.0,240.0,151.0,54.49,0.89,0.78,232.54,Good
120.0,138.0,3.0,68.0,0.96,0.28,117.23,Medium
134.0,155.0,107.0,86.25,0.19,0.51,143.25,Medium
160.0,94.0,135.0,322.73,0.26,0.5,118.41,Medium
163.0,224.0,46.0,80.56,0.74,0.53,185.47,Medium
217.0,105.0,56.0,18.26,0.68,0.54,132.9,Bad
216.0,214.0,133.0,58.55,0.52,0.68,205.36,Medium
114.0,136.0,27.0,72.11,0.67,0.32,117.0,Medium
218.0,114.0,23.0,28.0,0.81,0.47,134.72,Bad
205.0,156.0,41.0,42.07,0.67,0.48,157.54,Medium
94.0,119.0,167.0,219.45,0.29,0.51,117.0,Good
102.0,94.0,153.0,248.14,0.24,0.48,103.12,Good
149.0,116.0,161.0,284.0,0.19,0.54,131.0,Good
96.0,28.0,31.0,357.35,0.55,0.24,48.67,Bad
78.0,131.0,84.0,126.79,0.25,0.41,109.79,Medium
179.0,198.0,80.0,69.66,0.51,0.55,178.87,Medium
111.0,78.0,65.0,16.96,0.26,0.35,86.38,Bad
172.0,128.0,8.0,43.9,0.91,0.35,127.48,Medium
222.0,63.0,35.0,8.98,0.74,0.5,107.35,Bad
79.0,,4.0,,,,,
94.0,252.0,89.0,118.16,0.96,0.67,186.18,Medium
123.0,118.0,139.0,254.29,0.08,0.5,121.89,Good
17.0,7.0,42.0,257.14,0.71,0.1,13.98,Bad
81.0,21.0,193.0,260.93,0.8,0.42,58.55,Good
65.0,96.0,172.0,222.62,0.45,0.46,95.39,Good
70.0,25.0,61.0,312.0,0.47,0.19,42.56,Medium
111.0,,218.0,,,,,
126.0,186.0,,,,,,
80.0,16.0,183.0,262.99,0.84,0.39,54.17,Medium
215.0,223.0,224.0,186.67,0.13,0.86,220.72,Good
117.0,234.0,123.0,123.08,0.74,0.69,186.36,Medium
239.0,204.0,85.0,46.36,0.83,0.64,200.9,Medium
148.0,135.0,44.0,52.5,0.54,0.38,128.51,Medium
85.0,131.0,253.0,223.57,0.98,0.66,131.15,Good
222.0,201.0,156.0,40.91,0.5,0.74,202.15,Medium
30.0,,202.0,,,,,
34.0,116.0,76.0,150.73,0.55,0.29,86.92,Medium
133.0,45.0,189.0,276.67,0.62,0.46,87.73,Good
85.0,15.0,248.0,258.03,0.94,0.52,62.49,Good
21.0,166.0,32.0,124.55,0.78,0.37,107.37,Medium
232.0,180.0,47.0,43.14,0.8,0.55,180.39,Medium
35.0,49.0,180.0,234.21,0.67,0.42,59.75,Good
117.0,51.0,25.0,16.96,0.65,0.28,67.77,Bad
121.0,158.0,82.0,89.21,0.32,0.47,138.27,Medium
101.0,185.0,155.0,158.57,0.38,0.56,156.46,Medium
86.0,127.0,245.0,224.53,0.89,0.65,128.19,Good
1.0,225.0,103.0,147.32,0.99,0.44,144.12,Medium
165.0,14.0,59.0,342.12,0.84,0.35,64.28,Bad
51.0,1.0,221.0,253.64,0.99,0.44,41.03,Good
184.0,252.0,,,,,,
92.0,246.0,73.0,113.41,0.91,0.63,180.23,Medium
68.0,65.0,,,,,,
62.0,84.0,153.0,225.49,0.42,0.42,85.29,Good
98.0,,25.0,,,,,
20.0,250.0,126.0,147.65,0.96,0.53,167.09,Medium
189.0,132.0,67.0,31.97,0.48,0.5,141.63,Medium
71.0,45.0,241.0,247.96,0.87,0.56,75.12,Good
100.0,75.0,79.0,350.4,0.14,0.34,82.93,Bad
109.0,127.0,,,,,,
166.0,3.0,190.0,292.3,0.97,0.38,73.06,Medium
52.0,,221.0,,,,,
252.0,146.0,84.0,22.14,0.97,0.66,170.63,Bad
31.0,103.0,123.0,193.04,0.6,0.3,83.75,Medium
190.0,29.0,86.0,338.76,0.74,0.43,83.64,Bad
74.0,57.0,246.0,245.4,0.91,0.59,83.63,Good
35.0,53.0,5.0,82.5,0.83,0.11,42.15,Bad
87.0,116.0,84.0,114.38,0.16,0.39,103.68,Medium
145.0,76.0,221.0,268.55,0.68,0.58,113.16,Good
75.0,30.0,,,,,,
173.0,66.0,222.0,281.15,0.7,0.56,115.78,Good
79.0,210.0,206.0,178.17,0.59,0.57,170.38,Medium
26.0,44.0,55.0,202.76,0.36,0.16,39.87,Medium
145.0,,132.0,,,,,
31.0,165.0,173.0,183.38,0.7,0.4,125.85,Medium
131.0,68.0,4.0,30.24,0.94,0.26,79.54,Medium
31.0,8.0,102.0,254.68,0.85,0.22,25.59,Medium
143.0,54.0,195.0,277.87,0.57,0.49,96.69,Good
220.0,68.0,176.0,317.37,0.68,0.56,125.76,Medium
29.0,,122.0,,,,,
196.0,201.0,243.0,233.62,0.66,0.86,204.29,Good
87.0,62.0,,,,,,
101.0,165.0,216.0,206.61,0.6,0.62,151.68,Good
80.0,89.0,137.0,230.53,0.26,0.43,91.78,Good
39.0,37.0,122.0,241.41,0.53,0.31,47.29,Medium
81.0,199.0,117.0,138.31,0.51,0.55,154.37,Medium
87.0,118.0,49.0,86.96,0.41,0.33,100.86,Medium
153.0,166.0,216.0,227.62,0.45,0.72,167.81,Good
156.0,58.0,232.0,273.79,0.79,0.57,107.14,Good
141.0,195.0,66.0,85.12,0.52,0.51,164.15,Medium
158.0,14.0,30.0,353.33,0.84,0.34,58.88,Bad
20.0,3.0,164.0,246.34,0.96,0.33,26.44,Medium
151.0,72.0,208.0,274.85,0.59,0.55,111.12,Good
83.0,107.0,165.0,222.44,0.33,0.49,106.44,Good
3.0,137.0,105.0,165.67,0.96,0.27,93.29,Medium
179.0,156.0,66.0,47.79,0.46,0.48,152.62,Medium
59.0,98.0,110.0,194.12,0.3,0.33,87.71,Medium
246.0,145.0,138.0,3.89,0.86,0.75,174.4,Bad
62.0,247.0,160.0,151.78,0.92,0.61,181.77,Medium
183.0,3.0,105.0,326.0,0.97,0.36,68.45,Medium
138.0,58.0,58.0,0.0,0.41,0.38,81.92,Bad
174.0,140.0,49.0,43.68,0.56,0.44,139.79,Medium
